record,name,year,debut,region,team,pos,gp,k
-x--------x,Violet,2021,2012,OCE,PEACE,ADC,15,52
--xxxxx-x-x,Faker,2021,2013,KR,T1,Middle,115,419
--x-xxxx--x,Maple,2021,2013,PCS,PSG Talon,Middle,39,135
---xxx-x-xx,Deft,2021,2014,KR,Hanwha Life Esports,ADC,70,283
----xxxxxxx,Jensen,2021,2015,NA,Team Liquid,Middle,80,283
----xxxx--x,Meiko,2021,2015,CN,EDward Gaming,Support,64,49
----xx----x,Odoamne,2021,2015,EU,Rogue,Top,27,63
----x----xx,Santorin,2021,2015,NA,Team Liquid,Jungle,19,32
----x--x--x,Ssumday,2021,2015,NA,100 Thieves,Top,22,66
----xxx---x,Zven,2021,2015,NA,Cloud9,ADC,43,151
-----xxxxxx,CoreJJ,2021,2016,NA,Team Liquid,Support,61,55
-----x----x,huhi,2021,2016,NA,100 Thieves,Support,12,37
-----xxxxxx,Perkz,2021,2016,NA,Cloud9,Middle,86,316
-----xxx-xx,Ruler,2021,2016,KR,Gen.G,ADC,64,221
-----xxx--x,Scout,2021,2016,CN,EDward Gaming,Middle,51,186
-----xxxx-x,Xiaohu,2021,2016,CN,Royal Never Give Up,Top,55,140
------x--xx,Bdd,2021,2017,KR,Gen.G,Middle,34,109
------xxx-x,Evi,2021,2017,LJL,DetonatioN FocusMe,Top,27,56
------x--xx,Hans sama,2021,2017,EU,Rogue,ADC,26,94
------x-xxx,Kaiwing,2021,2017,PCS,PSG Talon,Support,39,25
------x-x-x,Khan,2021,2017,KR,DWG KIA,Top,41,151
------xxx-x,Ming,2021,2017,CN,Royal Never Give Up,Support,45,32
------x--xx,Rascal,2021,2017,KR,Gen.G,Top,23,65
------x-xxx,Unified,2021,2017,PCS,PSG Talon,ADC,35,89
------x---x,WhiteLotus,2021,2017,LAM,INFINITY,ADC,11,39
-------xx-x,Blaber,2021,2018,NA,Cloud9,Jungle,28,96
-------xxxx,Bwipo,2021,2018,EU,Fnatic,Jungle,40,112
-------x-xx,Hanabi,2021,2018,PCS,PSG Talon,Top,24,68
-------xxxx,Hylissang,2021,2018,EU,Fnatic,Support,44,37
-------x--x,Liang,2021,2018,PCS,Beyond Gaming,Top,18,44
-------x-xx,PK,2021,2018,PCS,Beyond Gaming,Top,24,38
-------x--x,SolidSnake,2021,2018,LAM,INFINITY,Jungle,12,23
-------xx-x,Steal,2021,2018,LJL,DetonatioN FocusMe,Jungle,23,40
-------x--x,TitaN,2021,2018,BRL,RED Canids,ADC,14,48
-------xx-x,Yutapon,2021,2018,LJL,DetonatioN FocusMe,ADC,23,79
--------xxx,AHaHaCiK,2021,2019,CIS,Unicorns of Love.CIS,Jungle,30,78
--------xxx,Armut,2021,2019,EU,MAD Lions,Top,31,98
--------xxx,Babip,2021,2019,OCE,PEACE,Jungle,25,69
--------xxx,BeryL,2021,2019,KR,DWG KIA,Support,54,59
--------xxx,BOSS,2021,2019,CIS,Unicorns of Love.CIS,Top,30,97
--------x-x,Buggax,2021,2019,LAM,INFINITY,Top,12,47
--------xxx,Canyon,2021,2019,KR,DWG KIA,Jungle,64,193
--------xxx,Chovy,2021,2019,KR,Hanwha Life Esports,Middle,37,87
--------x-x,Closer,2021,2019,NA,100 Thieves,Jungle,14,32
--------x-x,Doinb,2021,2019,CN,FunPlus Phoenix,Middle,25,91
--------x-x,Fudge,2021,2019,NA,Cloud9,Top,23,70
--------x--,Gaeng,2021,2019,LJL,DetonatioN FocusMe,Support,15,12
--------xxx,Humanoid,2021,2019,EU,MAD Lions,Middle,41,149
